Domain,Type,Sponsoring Organisation,Date
.reisen,generic,"New Cypress, LLC",2023-02-24
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2023-02-24
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2023-02-24
.rentals,generic,"Big Hollow,LLC",2023-02-24
.repair,generic,"Lone Sunset, LLC",2023-02-24
.report,generic,"Binky Glen, LLC",2023-02-24
.republican,generic,United TLD Holdco Ltd.,2023-02-24
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-02-24
.restaurant,generic,"Snow Avenue, LLC",2023-02-24
.review,generic,dot Review Limited,2023-02-24
.reviews,generic,"United TLD Holdco, Ltd.",2023-02-24
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-02-24
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2023-02-24
.rip,generic,United TLD Holdco Ltd.,2023-02-24
.rocks,generic,"United TLD Holdco, LTD.",2023-02-24
.rodeo,generic,Top Level Domain Holdings Limited,2023-02-24
.rsvp,generic,Charleston Road Registry Inc.,2023-02-24
.ruhr,generic,regiodot GmbH & Co. KG,2023-02-24
.ryukyu,generic,BusinessRalliart inc.,2023-02-24
.saarland,generic,dotSaarland GmbH,2023-02-24
.sale,generic,"United TLD Holdco, Ltd",2023-02-24
.samsung,generic,"SAMSUNG SDS CO., LTD",2023-02-24
.sap,generic,SAP AG,2023-02-24
.sarl,generic,"Delta Orchard, LLC",2023-02-24
.saxo,generic,Saxo Bank A/S,2023-02-24
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2023-02-24
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2023-02-24
.schmidt,generic,SALM S.A.S.,2023-02-24
.scholarships,generic,"Scholarships.com, LLC",2023-02-24
.school,generic,"Little Galley, LLC",2023-02-24
.schule,generic,"Outer Moon, LLC",2023-02-24
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2023-02-24
.science,generic,dot Science Limited,2023-02-24
.scot,generic,Dot Scot Registry Limited,2023-02-24
.services,generic,"Fox Castle, LLC",2023-02-24
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2023-02-24
.sexy,generic,"Uniregistry, Corp.",2023-02-24
.shiksha,generic,Afilias Limited,2023-02-24
.shoes,generic,"Binky Galley, LLC",2023-02-24
.shriram,generic,Shriram Capital Ltd.,2023-02-24
.singles,generic,"Fern Madison, LLC",2023-02-24
.site,generic,DotSite Inc.,2023-02-24
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2023-02-24
.social,generic,United TLD Holdco Ltd.,2023-02-24
.software,generic,"United TLD Holdco, Ltd",2023-02-24
.sohu,generic,Sohu.com Limited,2023-02-24
.solar,generic,"Ruby Town, LLC",2023-02-24
.solutions,generic,"Silver Cover, LLC",2023-02-24
.soy,generic,Charleston Road Registry Inc.,2023-02-24
.space,generic,DotSpace Inc.,2023-02-24
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2023-02-24
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2023-02-24
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2023-02-24
.style,generic,"Binky Moon, LLC",2023-02-24
.sucks,generic,Vox Populi Registry Inc.,2023-02-24
.supplies,generic,"Atomic Fields, LLC",2023-02-24
.supply,generic,"Half Falls, LLC",2023-02-24
.support,generic,"Grand Orchard, LLC",2023-02-24
.surf,generic,Top Level Domain Holdings Limited,2023-02-24
.surgery,generic,"Tin Avenue, LLC",2023-02-24
.suzuki,generic,SUZUKI MOTOR CORPORATION,2023-02-24
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2023-02-24
.systems,generic,"Dash Cypress, LLC",2023-02-24
.taipei,generic,Taipei City Government,2023-02-24
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2023-02-24
.tattoo,generic,"Uniregistry, Corp.",2023-02-24
.tax,generic,"Storm Orchard, LLC",2023-02-24
.tech,generic,Dot Tech LLC,2023-02-24
.technology,generic,"Auburn Falls, LLC",2023-02-24
.temasek,generic,Temasek Holdings (Private) Limited,2023-02-24
.tennis,generic,"Cotton Bloom, LLC",2023-02-24
.tickets,generic,Accent Media Limited,2023-02-24
.tienda,generic,"Victor Manor, LLC",2023-02-24
.tips,generic,"Corn Willow, LLC",2023-02-24
.tires,generic,"Dog Edge, LLC",2023-02-24
.tirol,generic,punkt Tirol GmbH,2023-02-24
.today,generic,"Pearl Woods, LLC",2023-02-24
.tokyo,generic,"GMO Registry, Inc.",2023-02-24
.tools,generic,"Pioneer North, LLC",2023-02-24
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2023-02-24
